--- Initializing AI Engines for Curriculum Audit ---
Predictor & Knowledge Engine Loaded.

================================================================================
SUBJECT                                  | PREDICTED ROLE            | ALIGNMENT
================================================================================
01 CMSC 502 COURSE_SYLLABUS_ocred        | Cybersecurity Engineer    | 0.0%
CS_CMSC 306_1ST SEM 2025-2026_ocred      | Software Engineer         | 22.22%
CS_CMSC 307_1ST SEM 2025-2026_ocred      | Cybersecurity Engineer    | 25.0%
CS_CMSC 309_1ST SEM 2025-2026_ocred      | Project Manager           | 50.0%
CS_CMSC 310_1ST SEM 2025-2026_ocred      | Cybersecurity Engineer    | 12.5%
CS_CSST 101_1ST SEM 2025-2026_ocred      | AI Engineer               | 33.33%
CS_CSST 102_1ST SEM 2025-2026_ocred      | AI Engineer               | 44.44%
CS_CSST 106_1ST SEM 2025-2026_ocred      | AI Engineer               | 66.67%
CS_ITEC 105_1ST SEM 2025-2026_ocred      | Data Analyst              | 12.5%
CS_ITEP 413_1ST SEM 2025-2026_ocred      | Cybersecurity Engineer    | 25.0%
CS_PATHFIT 1-CS_1ST SEM 2023-2024_ocred  | UI/UX Designer            | 0.0%
SYLLABUS_BSIT_ITEP414_ocred              | Cybersecurity Engineer    | 25.0%
SYLLABUS_CMSC 101_CS_2ND SEM_ocred       | Cybersecurity Engineer    | 0.0%
SYLLABUS_CMSC 202_CS-1STSEM_ocred        | Cybersecurity Engineer    | 0.0%
SYLLABUS_CMSC 203_CS_1STSEM_ocred        | Software Engineer         | 55.56%
SYLLABUS_CMSC 204_CS_2ND SEM_ocred       | Cybersecurity Engineer    | 0.0%
SYLLABUS_CMSC 305_CS_1STSEM_ocred        | Cybersecurity Engineer    | 0.0%
SYLLABUS_CMSC 308_CS_1STSEM_ocred        | Cybersecurity Engineer    | 12.5%
SYLLABUS_CMSC 311_2ND SEM_ocred          | Cybersecurity Engineer    | 0.0%
SYLLABUS_CMSC 501_2ND SEM (1)_ocred      | Cybersecurity Engineer    | 0.0%
SYLLABUS_CMSC 501_2ND SEM_ocred          | Cybersecurity Engineer    | 0.0%
SYLLABUS_CMSC 503_2ND SEM_ocred          | Software Engineer         | 0.0%
SYLLABUS_CSEL 301_2ND SEM_ocred          | Cybersecurity Engineer    | 0.0%
SYLLABUS_CSST 105_INTER SEM_ocred        | Cybersecurity Engineer    | 0.0%
SYLLABUS_FILDIS_CS_2ND SEM_ocred         | Data Analyst              | 0.0%
SYLLABUS_GEC 102_CS_IT_1STSEM (1)_ocred  | Project Manager           | 25.0%
SYLLABUS_GEC 102_CS_IT_1STSEM_ocred      | Project Manager           | 25.0%
SYLLABUS_GEC 103_CS_2ND SEM_ocred        | Cybersecurity Engineer    | 0.0%
SYLLABUS_GEC 104_CS_2ND SEM_ocred        | Data Analyst              | 12.5%
SYLLABUS_GEC 105_2ND SEM_ocred           | Data Analyst              | 0.0%
SYLLABUS_GEC 106_CS_1STSEM_ocred         | AI Engineer               | 0.0%
SYLLABUS_GEC 107_2ND SEM_ocred           | Content Specialist        | 12.5%
SYLLABUS_GEC 108_2ND SEM (1)_ocred       | Data Analyst              | 0.0%
SYLLABUS_ITEC 101_CS_1ST SEM_ocred       | Cybersecurity Engineer    | 0.0%
SYLLABUS_ITEC 102_CS_1ST SEM_ocred       | Software Engineer         | 44.44%
SYLLABUS_ITEC 104_CS_1STSEM_ocred        | Software Engineer         | 44.44%
SYLLABUS_ITEC 106_2ND SEM_ocred          | QA Engineer               | 12.5%
SYLLABUS_ITEP 415_IT_1ST SEM_ocred       | Data Analyst              | 12.5%
SYLLABUS_ITST 306_IT_1ST SEM (1)_ocred   | UI/UX Designer            | 100.0%
SYLLABUS_KOMFIL_1ST SEM_ocred            | Software Engineer         | 0.0%
SYLLABUS_MATH 24_CS_1STSEM (1)_ocred     | Cybersecurity Engineer    | 0.0%
SYLLABUS_PI 100_CS_1STSEM_ocred          | Data Analyst              | 0.0%
SYLLABUS_SOSLIT_1ST SEM_ocred            | Data Analyst              | 0.0%
================================================================================

Audit Complete.
